id,name,abbr,archetype,branch,tier,level_max,stats.spd,stats.atk,stats.rng,stats.def,stats.hp,stats.jump,stats.wp,stats.mag,stats.res,growth.spd,growth.atk,growth.rng,growth.def,growth.hp,growth.jump,growth.wp,growth.mag,growth.res,equipment_access,granted_abilities,required_classes,derived_bonuses,jp_costs,prerequisites
duelist,Duelist,DUE,physical_attack,melee,3,10,1.0,4.0,,,12.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""fire_nova"": 60, ""ice_nova"": 80, ""lightning_nova"": 100, ""rune_lightning"": 100, ""boost_earth"": 130, ""boost_wind"": 150, ""boost_holy"": 170}","{""classes"": [[""squire"", 3], [""cutpurse"", 3]]}"
fencer,Fencer,FEN,physical_attack,melee,4,10,1.0,4.0,,,13.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""crushing_heel"": 80, ""war_stomp"": 100, ""rage"": 130, ""shadow_step"": 130, ""equip_robe"": 160, ""equip_greatsword"": 180, ""damage_split"": 210}","{""classes"": [[""duelist"", 4]]}"
swordmaster,Swordmaster,SWO,physical_attack,melee,5,10,1.0,4.0,,,14.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""reckless_swing"": 90, ""lightning_stab"": 120, ""piercing_thrust"": 160, ""seismic_strike"": 160, ""reraise_innate"": 190, ""retaliate"": 220, ""dodge_roll"": 250}","{""classes"": [[""warrior"", 5], [""duelist"", 3]]}"
blademaster,Blademaster,BLA,physical_attack,melee,6,10,1.0,5.0,,,15.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""dragon_dive"": 110, ""earthshaker"": 140, ""rampage"": 180, ""cross_slash"": 180, ""waterwalk"": 220, ""lavawalk"": 250, ""ignore_terrain"": 290}","{""classes"": [[""swordmaster"", 5]]}"
ronin,Ronin,RON,physical_attack,melee,6,10,1.0,5.0,,,15.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""shield_charge"": 110, ""vanguard_strike"": 140, ""focus_mind"": 180, ""march"": 180, ""ignore_traps"": 220, ""phase_step"": 250, ""teleport_innate"": 290}","{""classes"": [[""swordmaster"", 4]]}"
samurai,Samurai,SAM,physical_attack,melee,7,10,1.0,5.0,,,16.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""iaido_strike"": 120, ""jump"": 160, ""double_slash"": 200, ""double_cut"": 200, ""hp_boost_2"": 250, ""crit_up_1"": 290, ""accuracy_up_1"": 330}","{""classes"": [[""ronin"", 5]]}"
kensei,Kensei,KEN,physical_attack,melee,9,10,1.0,6.0,,,18.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""thousandfold_slash"": 150, ""assassinate"": 200, ""triple_cut"": 260, ""executioner"": 260, ""def_boost_3"": 310, ""spd_boost_3"": 360, ""rng_boost_3"": 410}","{""classes"": [[""samurai"", 5], [""blademaster"", 4]]}"
ravager,Ravager,RAV,physical_attack,melee,4,10,1.0,4.0,,,13.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""bravery"": 80, ""faith"": 100, ""armor_break"": 130, ""arm_shot"": 130, ""auto_regen"": 160, ""critical_recovery"": 180, ""last_stand_innate"": 210}","{""classes"": [[""berserker"", 5]]}"
warlord,Warlord,WAR,physical_attack,melee,5,10,1.0,4.0,,,14.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""whirling_blades"": 90, ""blade_flurry"": 120, ""battle_focus"": 160, ""inner_fire"": 160, ""guard_reflex"": 190, ""vengeful_spirit"": 220, ""thorns"": 250}","{""classes"": [[""gladiator"", 5], [""knight_errant"", 4]]}"
weapon_master,Weapon Master,WEA,physical_attack,melee,8,10,1.0,5.0,,,17.0,,,,,0.2,0.6,,0.3,1.6,,,,,"[""sword"", ""longsword"", ""greataxe"", ""warhammer"", ""halberd"", ""rapier"", ""medium_armor"", ""light_armor"", ""shield"", ""berserker_band""]",[],[],{},"{""masters_arsenal"": 140, ""charge"": 180, ""crushing_blow"": 230, ""overhead_smash"": 230, ""hp_boost_3"": 280, ""atk_boost_2"": 320, ""atk_boost_3"": 370}","{""classes"": [[""blademaster"", 4], [""gladiator"", 4]]}"
archer,Archer,ARC,physical_attack,ranged,2,10,2.0,2.0,1.0,,7.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""poison_strike"": 50, ""cripple"": 60, ""pinning_shot"": 80, ""sleep_spell"": 80, ""resist_steam"": 100, ""resist_alchemical"": 110, ""resist_aether"": 130}","{""classes"": [[""slinger"", 4]]}"
hunter,Hunter,HUN,physical_attack,ranged,3,10,2.0,3.0,1.0,,8.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""slow"": 60, ""venom"": 80, ""confuse"": 100, ""disable"": 100, ""alchemical_body"": 130, ""item_finder"": 150, ""darkness"": 170}","{""classes"": [[""archer"", 4]]}"
marksman,Marksman,MAR,physical_attack,ranged,3,10,2.0,3.0,1.0,,8.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""oil"": 60, ""float"": 80, ""toxic_dart"": 100, ""snare_trap"": 100, ""purge"": 130, ""rune_water"": 150, ""rune_earth"": 170}","{""classes"": [[""archer"", 5]]}"
sharpshooter,Sharpshooter,SHA,physical_attack,ranged,4,10,2.0,3.0,1.0,,9.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""volley"": 80, ""aether_shot"": 100, ""sonic_shot"": 130, ""flare_arrow"": 130, ""undead_ward"": 160, ""hamedo_strike"": 180, ""boost_dark"": 210}","{""classes"": [[""marksman"", 5]]}"
sniper,Sniper,SNI,physical_attack,ranged,5,10,2.0,3.0,1.0,,10.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""arrow_rain"": 90, ""piercing_shot"": 120, ""multi_shot"": 160, ""pinning_volley"": 160, ""counter_throw"": 190, ""riposte_innate"": 220, ""brace"": 250}","{""classes"": [[""sharpshooter"", 5]]}"
crossbowman,Crossbowman,CRO,physical_attack,ranged,3,10,2.0,3.0,1.0,,8.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""rune_wind"": 60, ""rune_arcane"": 80, ""rune_steam"": 100, ""rune_alchemical"": 100, ""rune_aether"": 130, ""rune_sonic"": 150, ""dark_pulse"": 170}","{""classes"": [[""archer"", 3]]}"
arbalist,Arbalist,ARB,physical_attack,ranged,4,10,2.0,3.0,1.0,,9.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""poison_arrow"": 80, ""frostbite"": 100, ""electrify"": 130, ""gust_strike"": 130, ""boost_poison"": 160, ""boost_arcane"": 180, ""boost_steam"": 210}","{""classes"": [[""crossbowman"", 4]]}"
ranger,Ranger,RAN,physical_attack,ranged,6,10,2.0,4.0,1.0,,11.0,,,,,0.3,0.5,0.2,,1.2,,,,,"[""bow"", ""longbow"", ""crossbow"", ""short_bow"", ""sling"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy"", ""rangers_quiver""]",[],[],{},"{""barrage"": 110, ""explosive_shot"": 140, ""suppressing_fire"": 180, ""ricochet"": 180, ""swift_foot"": 220, ""rocket_boots"": 250, ""grapple_line"": 290}","{""classes"": [[""hunter"", 4], [""scout"", 3]]}"
gunner,Gunner,GUN,physical_attack,firearms,3,10,1.0,4.0,1.0,,8.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""dark_shard"": 60, ""poison_shard"": 80, ""stasis_sword"": 100, ""holy_shard"": 100, ""rune_holy"": 130, ""cura"": 150, ""heal_mid"": 170}","{""classes"": [[""tinker"", 4], [""slinger"", 3]]}"
pistoleer,Pistoleer,PIS,physical_attack,firearms,4,10,1.0,4.0,1.0,,9.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""revolver_fan"": 80, ""shrapnel_shot"": 100, ""quickdraw"": 130, ""fire_2"": 130, ""gunner_focus"": 160, ""rapid_reload"": 180, ""boost_alchemical"": 210}","{""classes"": [[""gunner"", 4]]}"
rifleman,Rifleman,RIF,physical_attack,firearms,4,10,1.0,4.0,1.0,,9.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""ice_2"": 80, ""stone_2"": 100, ""aero_2"": 130, ""water_nova"": 130, ""boost_aether"": 160, ""scavenger"": 180, ""earth_nova"": 210}","{""classes"": [[""gunner"", 4]]}"
musketeer,Musketeer,MUS,physical_attack,firearms,5,10,1.0,4.0,1.0,,10.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""gatling_burst"": 90, ""musket_volley"": 120, ""pepperbox"": 160, ""take_aim"": 160, ""aether_capacitor"": 190, ""pressure_valve"": 220, ""second_wind_innate"": 250}","{""classes"": [[""rifleman"", 5]]}"
gunslinger,Gunslinger,GUN,physical_attack,firearms,7,10,1.0,5.0,1.0,,12.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""deadshot_volley"": 120, ""dual_pistols"": 160, ""hailstorm_rounds"": 200, ""hastega"": 200, ""tinkerer"": 250, ""piston_legs"": 290, ""perfect_aim"": 330}","{""classes"": [[""pistoleer"", 4], [""marksman"", 3]]}"
artillerist,Artillerist,ART,physical_attack,firearms,5,10,1.0,4.0,1.0,,10.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""water_2"": 90, ""torrent"": 120, ""fire_wall"": 160, ""flamethrower"": 160, ""levitate"": 190, ""boost_sonic"": 220, ""mag_boost_1"": 250}","{""classes"": [[""rifleman"", 4], [""tinker"", 3]]}"
bombardier,Bombardier,BOM,physical_attack,firearms,6,10,1.0,5.0,1.0,,11.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""explosive_round"": 110, ""point_blank"": 140, ""called_volley"": 180, ""overdrive"": 180, ""salvager"": 220, ""sure_footed"": 250, ""fly"": 290}","{""classes"": [[""artillerist"", 4]]}"
grenadier,Grenadier,GRE,physical_attack,firearms,9,10,1.0,6.0,1.0,,14.0,,,,,0.2,0.6,0.2,,1.2,,,,,"[""crossbow"", ""sling"", ""throwing_knives"", ""light_armor"", ""studded_leather"", ""bracer_of_accuracy""]",[],[],{},"{""carpet_bombing"": 150, ""sniper_round"": 200, ""hand_cannon"": 260, ""enrage"": 260, ""gadget_master"": 310, ""wp_boost_3"": 360, ""move_plus_3"": 410}","{""classes"": [[""bombardier"", 4], [""alchemist"", 3]]}"
guardian,Guardian,GUA,physical_defense,guard,2,10,,1.0,,4.0,14.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""iron_will"": 50, ""protect"": 60, ""shell"": 80, ""fortitude_spell"": 80, ""resist_sonic"": 100, ""steam_vent"": 110, ""clockwork_heart"": 130}","{""classes"": [[""footman"", 4]]}"
knight,Knight,KNI,physical_defense,guard,3,10,,1.0,,5.0,15.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""mana_shield"": 60, ""shield_wall"": 80, ""defensive_stance"": 100, ""group_heal_1"": 100, ""rejuvenate"": 130, ""inspire"": 150, ""lament"": 170}","{""classes"": [[""footman"", 4], [""squire"", 3]]}"
sentinel,Sentinel,SEN,physical_defense,guard,3,10,,1.0,,5.0,15.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""wiznaibus"": 60, ""mimic_daravon"": 80, ""battle_dance"": 100, ""acid_flask"": 100, ""oil_flask"": 130, ""sleeping_draught"": 150, ""flame_jet"": 170}","{""classes"": [[""guardian"", 5]]}"
defender,Defender,DEF,physical_defense,guard,2,10,,1.0,,4.0,14.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""net_trap"": 50, ""knee_breaker"": 60, ""guard_break"": 80, ""disarming_strike"": 80, ""gil_finder"": 100, ""treasure_hunter"": 110, ""crushing_grip"": 130}","{""classes"": [[""footman"", 4]]}"
shieldmaster,Shieldmaster,SHI,physical_defense,guard,5,10,,1.0,,5.0,17.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""shield_formation"": 90, ""ward_circle"": 120, ""iron_stance"": 160, ""silence"": 160, ""res_boost_1"": 190, ""counter_magic"": 220, ""mana_shield_innate"": 250}","{""classes"": [[""guardian"", 4], [""knight"", 3]]}"
paladin,Paladin,PAL,physical_defense,guard,5,10,,1.0,,5.0,17.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""regen"": 90, ""toad"": 120, ""berserk_spell"": 160, ""stone_gaze"": 160, ""spell_reflect"": 190, ""healer_innate"": 220, ""befuddle"": 250}","{""classes"": [[""knight"", 4], [""page"", 3]]}"
crusader,Crusader,CRU,physical_defense,guard,6,10,,1.0,,6.0,18.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""barrier"": 110, ""protectga"": 140, ""phalanx"": 180, ""immobilize"": 180, ""absorb_fire"": 220, ""mag_boost_2"": 250, ""res_boost_2"": 290}","{""classes"": [[""paladin"", 5]]}"
