id,name,type,ap,wp,range,mag_scaling,area.shape,area.radius,area.length,area.depth,effect.effect_type,effect.value,effect.element,effect.status_id,effect.duration,effect.stat,source,passive_kind,trigger,modifier
fire_1,Fire 1,spell,1,3,3,1.0,,,,,damage,4.0,fire,,,,class,,,
fire_2,Fire 2,spell,2,5,4,1.0,burst,1.0,,,damage,11.0,fire,,,,class,,,
fire_3,Fire 3,spell,2,8,4,1.0,,,,,damage,18.0,fire,,,,class,,,
ice_1,Ice 1,spell,1,3,3,1.0,,,,,damage,4.0,ice,,,,class,,,
ice_2,Ice 2,spell,2,5,4,1.0,burst,1.0,,,damage,11.0,ice,,,,class,,,
ice_3,Ice 3,spell,2,8,4,1.0,,,,,damage,18.0,ice,,,,class,,,
thunder_1,Thunder 1,spell,1,4,3,1.0,,,,,damage,6.0,lightning,,,,class,,,
thunder_2,Thunder 2,spell,2,6,4,1.0,burst,1.0,,,damage,13.0,lightning,,,,class,,,
thunder_3,Thunder 3,spell,2,9,4,1.0,,,,,damage,20.0,lightning,,,,class,,,
drain,Drain,spell,1,4,3,1.0,,,,,damage,5.0,dark,,,,class,,,
silence,Silence,spell,1,4,3,0.5,,,,,status,,,silence,3.0,,class,,,
slow,Slow,spell,1,3,3,0.5,,,,,status,,,slowed,3.0,,class,,,
arcane_blast,Arcane Blast,spell,1,3,3,1.0,,,,,damage,6.0,,,,,class,,,
meteor,Meteor,spell,2,10,4,1.0,burst,2.0,,,damage,22.0,fire,,,,class,,,
chain_lightning,Chain Lightning,spell,2,7,4,1.0,burst,1.0,,,damage,14.0,lightning,,,,class,,,
mana_shield,Mana Shield,spell,1,4,0,0.0,,,,,buff,5.0,,,3.0,def,class,,,
dark_pulse,Dark Pulse,spell,1,5,3,1.0,burst,1.0,,,damage,8.0,dark,,,,class,,,
death_grip,Death Grip,spell,2,8,3,1.0,,,,,damage,16.0,dark,,,,class,,,
curse,Curse,spell,1,4,3,0.5,,,,,buff,-3.0,,,3.0,atk,class,,,
cure_1,Cure 1,spell,1,3,3,0.8,,,,,heal,4.0,,,,,class,,,
cure_2,Cure 2,spell,2,5,4,0.8,,,,,heal,14.0,,,,,class,,,
cure_3,Cure 3,spell,2,8,4,0.8,burst,1.0,,,heal,10.0,,,,,class,,,
regen,Regen,spell,1,4,3,0.0,,,,,status,,,regen,3.0,,class,,,
protect,Protect,spell,1,3,3,0.0,,,,,buff,4.0,,,3.0,def,class,,,
shell,Shell,spell,1,3,3,0.0,,,,,buff,4.0,,,3.0,res,class,,,
haste,Haste,spell,1,4,3,0.0,,,,,buff,3.0,,,3.0,spd,class,,,
revive,Revive,spell,2,8,3,0.8,,,,,revive,25.0,,,,,class,,,
holy_1,Holy 1,spell,1,4,3,1.0,,,,,damage,5.0,holy,,,,class,,,
holy_2,Holy 2,spell,2,7,4,1.0,burst,1.0,,,damage,12.0,holy,,,,class,,,
dispel,Dispel,spell,1,3,3,0.0,,,,,status,,,dispel,1.0,,class,,,
barrier,Barrier,spell,1,5,3,0.0,,,,,buff,6.0,,,2.0,def,class,,,
bless,Bless,spell,1,5,3,0.0,,,,,buff,3.0,,,3.0,atk,class,,,
sanctuary,Sanctuary,spell,2,7,0,0.0,burst,2.0,,,buff,3.0,,,3.0,def,class,,,
divine_judgment,Divine Judgment,spell,2,9,4,1.0,burst,1.0,,,damage,16.0,holy,,,,class,,,
prophecy,Prophecy,spell,1,6,0,0.0,burst,2.0,,,buff,2.0,,,3.0,spd,class,,,
shield_1,Shield 1,spell,1,3,3,0.0,,,,,buff,3.0,,,3.0,def,class,,,
inspire,Inspire,skill,1,3,3,0.0,burst,1.0,,,buff,3.0,,,3.0,atk,class,,,
rally,Rally,skill,1,2,0,0.0,burst,2.0,,,buff,2.0,,,3.0,atk,item,,,
courage,Courage,skill,1,2,3,0.0,,,,,buff,3.0,,,3.0,def,class,,,
song_of_speed,Song of Speed,skill,1,3,0,0.0,burst,2.0,,,buff,2.0,,,3.0,spd,class,,,
lament,Lament,skill,1,3,3,0.0,burst,1.0,,,buff,-3.0,,,3.0,atk,class,,,
battle_hymn,Battle Hymn,skill,2,5,0,0.0,burst,2.0,,,buff,4.0,,,3.0,atk,class,,,
soothe,Soothe,skill,1,2,3,0.0,,,,,status,,,cleanse,1.0,,class,,,
encore,Encore,skill,1,3,3,0.0,,,,,buff,3.0,,,2.0,wp,class,,,
discord,Discord,skill,1,4,3,0.0,burst,1.0,,,status,,,confusion,2.0,,class,,,
aimed_shot,Aimed Shot,skill,1,2,4,0.0,,,,,damage,8.0,,,,,class,,,
volley,Volley,skill,2,4,4,0.0,burst,1.0,,,damage,6.0,,,,,class,,,
snipe,Snipe,skill,2,5,5,0.0,,,,,damage,18.0,,,,,class,,,
pinning_shot,Pinning Shot,skill,1,3,3,0.0,,,,,status,,,immobilized,2.0,,class,,,
barrage,Barrage,skill,2,6,4,0.0,burst,2.0,,,damage,8.0,,,,,class,,,
nature_salve,Nature's Salve,skill,1,2,3,0.0,,,,,heal,6.0,,,,,class,,,
camouflage,Camouflage,skill,1,2,0,0.0,,,,,buff,3.0,,,3.0,def,class,,,
smoke_bomb,Smoke Bomb,item,1,2,2,0.0,burst,1.0,,,status,,,blind,2.0,,item,,,
use_potion,Use Potion,item,1,0,0,0.0,,,,,heal,15.0,,,,,item,,,
use_hi_potion,Use Hi-Potion,item,1,0,0,0.0,,,,,heal,30.0,,,,,item,,,
use_ether,Use Ether,item,1,0,0,0.0,,,,,buff,5.0,,,1.0,wp,item,,,
use_antidote,Use Antidote,item,1,0,0,0.0,,,,,status,,,cleanse,1.0,,item,,,
use_phoenix_down,Use Phoenix Down,item,1,0,1,0.0,,,,,revive,25.0,,,,,item,,,
use_bomb,Use Bomb,item,1,0,2,0.0,burst,1.0,,,damage,8.0,,,,,item,,,
counter,Counter,passive,0,0,0,0.0,,,,,,,,,,,class,reaction,"{""event"": ""on_hit"", ""melee_only"": true}",
auto_potion,Auto-Potion,passive,0,0,0,0.0,,,,,,,,,,,class,reaction,"{""event"": ""on_damaged""}",
defend_reflex,Defend Reflex,passive,0,0,0,0.0,,,,,,,,,,,class,reaction,"{""event"": ""on_low_hp"", ""hp_pct"": 0.25}",
magic_up,Magic Up,passive,0,0,0,0.0,,,,,,,,,,,class,support,,"{""kind"": ""stat"", ""stat"": ""mag"", ""value"": 2}"
attack_up,Attack Up,passive,0,0,0,0.0,,,,,,,,,,,class,support,,"{""kind"": ""stat"", ""stat"": ""atk"", ""value"": 2}"
half_wp,Half WP,passive,0,0,0,0.0,,,,,,,,,,,class,support,,"{""kind"": ""wp_mult"", ""value"": 0.5}"
move_plus_1,Move +1,passive,0,0,0,0.0,,,,,,,,,,,class,movement,,"{""kind"": ""stat"", ""stat"": ""spd"", ""value"": 1}"
jump_plus_1,Jump +1,passive,0,0,0,0.0,,,,,,,,,,,class,movement,,"{""kind"": ""stat"", ""stat"": ""jump"", ""value"": 1}"
ignore_hazards,Ignore Hazards,passive,0,0,0,0.0,,,,,,,,,,,class,movement,,"{""kind"": ""hazard_immune""}"
